Iteration,Phase,Loss,Reward,Entropy,WinRate,DealInRate,MeanShantenRed
1,1,0.0780,0.0062,1.1596,0.8493,0.2740,6.7123
2,1,0.1065,0.0062,1.2868,0.7203,0.1441,6.4322
3,1,0.0760,0.0055,1.2987,0.6000,0.2000,6.2087
4,1,0.1082,0.0082,1.2513,0.6813,0.1429,6.6374
5,1,0.1380,0.0094,1.2853,0.6202,0.1473,6.3798
6,1,0.1126,0.0072,1.2879,0.6535,0.1485,6.2277
7,1,0.1043,0.0061,1.3103,0.6036,0.1982,6.4324
8,1,0.1282,0.0089,1.2923,0.6147,0.1376,6.1560
9,1,0.1107,0.0061,1.2696,0.6641,0.1484,6.6016
10,1,0.0955,0.0068,1.3011,0.5773,0.1753,6.5979
11,1,0.1039,0.0061,1.2884,0.5982,0.2411,6.4018
12,1,0.1068,0.0063,1.2811,0.6634,0.1683,6.4752
13,1,0.0897,0.0076,1.2781,0.6250,0.2232,6.6696
14,1,0.1172,0.0089,1.3114,0.5664,0.1239,6.2566
15,1,0.1008,0.0070,1.2967,0.6106,0.1681,6.1327
16,1,0.1078,0.0069,1.3157,0.5833,0.2083,6.1750
17,1,0.1202,0.0059,1.2850,0.6078,0.0882,6.4216
18,1,0.0985,0.0045,1.2632,0.6607,0.1875,6.2857
19,1,0.1364,0.0081,1.2949,0.5887,0.1935,6.4274
20,1,0.1147,0.0087,1.2780,0.6583,0.1333,6.2500
21,1,0.1053,0.0064,1.2344,0.6914,0.3333,6.8395
22,1,0.1229,0.0084,1.2941,0.7984,0.1938,6.4419
23,1,0.0798,0.0068,1.2816,0.5248,0.1683,6.6139
24,1,0.0968,0.0061,1.3130,0.6786,0.2054,6.5625
25,1,0.1092,0.0065,1.3139,0.6296,0.1389,6.1852
26,1,0.0955,0.0058,1.2825,0.7103,0.1963,6.5047
27,1,0.1105,0.0057,1.2710,0.6481,0.1759,6.9074
28,1,0.1240,0.0045,1.3120,0.5536,0.3036,6.1339
29,1,0.1241,0.0067,1.2894,0.5833,0.1759,6.3704
30,1,0.0974,0.0066,1.2614,0.5814,0.2403,6.5969
31,1,0.0895,0.0061,1.2699,0.6129,0.1290,6.3978
32,1,0.1102,0.0057,1.2722,0.7207,0.1712,6.3514
33,1,0.1435,0.0094,1.2639,0.5000,0.1855,6.4435
34,1,0.1092,0.0059,1.2881,0.6972,0.1651,6.4954
35,1,0.1209,0.0085,1.2545,0.5140,0.2243,6.2336
36,1,0.1115,0.0072,1.2965,0.6864,0.1864,6.4831
37,1,0.1093,0.0068,1.2989,0.6598,0.2165,6.2577
38,1,0.0899,0.0058,1.2685,0.6800,0.2160,6.5280
39,1,0.1116,0.0057,1.3124,0.6355,0.1495,6.3458
40,1,0.1569,0.0050,1.3410,0.5431,0.1810,6.2931
41,1,0.1140,0.0071,1.2763,0.5619,0.1810,6.4952
42,1,0.1188,0.0051,1.2714,0.7527,0.1613,6.6452
43,1,0.1023,0.0073,1.3019,0.7377,0.1639,6.3689
44,1,0.1066,0.0062,1.2731,0.5929,0.1416,6.3717
45,1,0.1126,0.0042,1.2884,0.7054,0.1696,6.4018
46,1,0.1094,0.0055,1.2816,0.4907,0.2037,6.4815
